#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T21:37:20 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ebff0677e60	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/635/A45&tab:{J/A+A/635/A45/table1}&key:source=J/A+A/635/A45/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/635/A45/table1
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=GLON
#-out=e_GLON
#-out=GLAT
#-out=e_GLAT
#-out=plx
#-out=e_plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Note
#-out=Simbad
#Simbad=Simbad
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36350045
#Name: J/A+A/635/A45
#Title: 570 new open clusters in the Galactic disc (Castro-Ginard+, 2020)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_635_A45_table1:
#Name: J/A+A/635/A45/table1
#Title: Mean parameters for the reported UBC clusters (updated, 07-Apr-2020)
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Cluster	(A6)	Cluster name (UBCNNN)	[ucd=meta.id.parent]
#Column	RA_ICRS	(F15.11)	Right Ascension mean (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F15.11)	Right Ascension standard deviation	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Declination mean (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F15.11)	Declination standard deviation	[ucd=stat.error;pos.eq.dec]
#Column	GLON	(F14.10)	Galactic longitude mean	[ucd=pos.galactic.lon]
#Column	e_GLON	(F14.10)	Galactic longitude standard deviation	[ucd=stat.error]
#Column	GLAT	(F14.10)	Galactic latitude mean	[ucd=pos.galactic.lat]
#Column	e_GLAT	(F14.10)	Galactic latitude standard deviation	[ucd=stat.error]
#Column	plx	(F10.4)	Parallax mean	[ucd=pos.parallax.trig]
#Column	e_plx	(F10.4)	Parallax standard deviation	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension mean, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F9.3)	Proper motion in right ascension standard deviation	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination mean	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F9.3)	Proper motion in declination standard deviation	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Note	(A1)	[ab] Note (1)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;Cluster;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;GLON;e_GLON;GLAT;e_GLAT;plx;e_plx;pmRA;e_pmRA;pmDE;e_pmDE;Note;Simbad;_RA.icrs;_DE.icrs
deg;deg; ;deg;deg;deg;deg;deg;deg;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr; ; ;deg;deg
-----------------;-----------------;------;---------------;---------------;---------------;---------------;--------------;--------------;--------------;--------------;----------;----------;---------;---------;---------;---------;-;------;---------------;---------------
267.4221179389331;-28.7589713930533;UBC91 ;267.42211505596;  0.06555396898;-28.75897623680;  0.07158034281;  0.6125772211;  0.0730822157; -0.6707254708;  0.0555486269;    0.4223;    0.0303;   -0.587;    0.086;   -1.125;    0.108; ;Simbad;267.42211794055;-28.75897139325
269.8837561102067;-26.6548522215209;UBC92 ;269.88376634748;  0.06690335300;-26.65485047347;  0.06431004126;  3.5300484945;  0.0678888693; -1.4877204557;  0.0557250667;    0.3753;    0.0392;    2.125;    0.091;    0.406;    0.091; ;Simbad;269.88375610912;-26.65485222276
268.5727664593526;-25.3903932861508;UBC93 ;268.57276202229;  0.04717161740;-25.39040139782;  0.04908984093;  4.0326902373;  0.0417000374;  0.1657842852;  0.0498711883;    0.3386;    0.0268;   -0.931;    0.107;   -1.884;    0.093; ;Simbad;268.57276646107;-25.39039328570
269.6325554113685;-24.6364435049225;UBC94 ;269.63254755312;  0.08793675393;-24.63646267756;  0.10150124300;  5.1672216476;  0.1008899386; -0.2854173443;  0.0806967128;    0.7481;    0.0142;   -1.659;    0.070;   -4.453;    0.065; ;Simbad;269.63255540919;-24.63644350531
268.2473835995855;-22.1651947671480;UBC95 ;268.24738290222;  0.06433268589;-22.16520027826;  0.09233469073;  6.6626457764;  0.0885102967;  2.0570985359;  0.0651992983;    0.4931;    0.0269;   -0.150;    0.127;   -1.280;    0.113; ;Simbad;268.24738359772;-22.16519476583
273.7607620859685;-16.3267126014451;UBC96 ;273.76076497077;  0.09265254232;-16.32670858006;  0.10248830341; 14.3055446834;  0.1109303630;  0.3941884419;  0.0781401852;    0.6176;    0.0245;    0.643;    0.111;    0.934;    0.083; ;Simbad;273.76076208574;-16.32671260194
274.7795013185390;-15.7262424187038;UBC97 ;274.77949742256;  0.09503999972;-15.72624735287;  0.08471873609; 15.2990159083;  0.0987023327; -0.1822458424;  0.0761813934;    0.7334;    0.0156;   -0.871;    0.083;   -1.146;    0.084; ;Simbad;274.77950132065;-15.72624241683
288.8321073905511;-22.1402821467079;UBC98 ;288.83210999825;  0.15271510355;-22.14031083893;  0.14126926694; 15.3751139850;  0.1252957246;-14.9292632297;  0.1591118518;    1.5342;    0.0286;    0.561;    0.110;   -6.664;    0.172;a;Simbad;288.83210739215;-22.14028214728
282.0235798188434;-18.3019491966838;UBC99 ;282.02357456736;  0.09410648411;-18.30196683224;  0.08752922969; 16.1772861830;  0.0849791876; -7.5194784185;  0.0924365244;    1.0618;    0.0337;   -1.158;    0.099;   -4.096;    0.133;a;Simbad;282.02357982025;-18.30194919503
281.2616217602309;-11.1232127011717;UBC100;281.26161692028;  0.06841649886;-11.12322704298;  0.10184690640; 22.2972452518;  0.1016822710; -3.6474924149;  0.0676962251;    0.6975;    0.0130;   -1.103;    0.079;   -3.331;    0.087; ;Simbad;281.26162176028;-11.12321270233
279.5005764990811; -7.1424039285810;UBC101;279.50057514958;  0.08555040001; -7.14241696150;  0.07160739875; 25.0478946674;  0.0756872519; -0.2839131284;  0.0812716261;    0.4154;    0.0242;   -0.311;    0.095;   -3.027;    0.085; ;Simbad;279.50057649764; -7.14240392856
280.6091410906572; -6.8943408417038;UBC102;280.60913659328;  0.07961521550; -6.89435164004;  0.09259455291; 25.7723291740;  0.0916281727; -1.1484247807;  0.0801791421;    0.5156;    0.0216;   -1.037;    0.086;   -2.508;    0.108; ;Simbad;280.60914109274; -6.89434084198
280.6326893157100; -6.6044038603552;UBC103;280.63268759932;  0.05283204215; -6.60441364688;  0.07582039143; 26.0409595630;  0.0681343862; -1.0367254030;  0.0621474368;    0.2823;    0.0256;   -0.396;    0.088;   -2.273;    0.094; ;Simbad;280.63268931705; -6.60440386236
280.6900506923602; -6.2632541203047;UBC104;280.69005280176;  0.05248441998; -6.26325756475;  0.06699602150; 26.3705063988;  0.0638825305; -0.9315195651;  0.0559490063;    0.2895;    0.0329;    0.487;    0.090;   -0.800;    0.086; ;Simbad;280.69005069107; -6.26325411818
280.3279023036758; -5.4338633508090;UBC105;280.32790428020;  0.08758562006; -5.43386761331;  0.07982162032; 26.9433407338;  0.0821832867; -0.2318287035;  0.0849708855;    0.4683;    0.0254;    0.457;    0.105;   -0.990;    0.090; ;Simbad;280.32790230270; -5.43386334975
280.4725170077249; -5.4182173656867;UBC106;280.47251226766;  0.12341432695; -5.41822302749;  0.12943026362; 27.0231193821;  0.1374283253; -0.3526830982;  0.1138475849;    0.4004;    0.0377;   -1.096;    0.104;   -1.315;    0.113; ;Simbad;280.47251700694; -5.41821736539
